Anime List
100-man no Inochi no Ue ni Ore wa Tatteiru 
100-man no Inochi no Ue ni Ore wa Tatteiru Season 2 On-Going
11eyes 
12-sai.: Chicchana Mune no Tokimeki 
2.43: Seiin Koukou Danshi Volley-bu 
22/7 
3-gatsu no Lion 
3-gatsu no Lion Season 2 
3D Kanojo: Real Girl 
3D Kanojo: Real Girl Season 2 
86 
86 Season 2 On-Going
91 Days 
A-Channel 
AICO Incarnation 
Absolute Duo 
ACCA: 13-ku Kansatsu-ka 
Accel World 
Acchi Kocchi 
Adachi to Shimamura 
Ahiru no Sora 
Aho Girl 
Air 
Ajin 
Ajin Season 2 
Akagami no Shirayuki-hime 
Akagami no Shirayuki-hime Season 2 
Akame ga Kill! 
Akaneiro ni Somaru Saka 
Akanesasu Shoujo 
Akatsuki no Yona 
AKB0048 
AKB0048 Season 2 
Akiba's Trip The Animation 
Akkun to Kanojo 
Aku no Hana 
Akudama Drive 
Akuma no Riddle 
Aldnoah Zero 
Aldnoah Zero Season 2 
Amaama to Inazuma 
Amagami SS 
Amagami SS Season 2 
Amagi Brilliant Park 
Amanchu 
Amanchu! Season 2 
Ange Vierge 
Angel Beats 
Anima Yell! 
Animegataris 
Anne Happy 
Ano Natsu de Matteru 
AnoHana 
Another 
Another World 
Ansatsu Kyoushitsu 
Ansatsu Kyoushitsu Season 2 
Ao Haru Ride 
Ao no Exorcist 
Ao no Exorcist Season 2 
Ao no Kanata no Four Rhythm 
Aoi Bungaku Series 
Aoi Hana 
Aoki Hagane no Arpeggio: Ars Nova 
Appare Ranman 
Araburu Kisetsu no Otome-domo yo 
Arakawa Under the Bridge 
Arakawa Under the Bridge Season 2 
Arcana Famiglia 
Aria The Animation 
Arifureta 
Arslan Senki 
Arslan Senki Season 2 
Arte 
Asobi Asobase 
Assassins Pride 
Assault Lily: Bouquet 
Asu no Yoichi! 
Azur Lane 
B-gata H-kei 
Babylon 
Baccano! 
Back Arrow 
Back Street Girls: Gokudolls 
Baka to Test to Shoukanjuu 
Baka to Test to Shoukanjuu Season 2 
Bakemonogatari 
Baki 
Bakuman 
Bakuman Season 2 
Bakuman Season 3 
Ballroom e Youkoso 
Banana Fish 
BanG Dream! 
BanG Dream! Season 2 
Bang Dream Season 3 
Barakamon 
Beastars 
Beastars Season 2 
Beatless 
Beelzebub 
Beelzebub-jou no Okinimesu mama 
Bem 
Ben-To 
Binbougami ga 
Black Bullet 
Black Clover 
Black Lagoon 
Black Rock Shooter 
Blade & Soul 
Blend S 
Blood Lad 
Blood C 
Blue Period On-Going
Bofuri 
Boku dake ga Inai Machi 
Boku no Hero Academia 
Boku no Hero Academia Season 2 
Boku no Hero Academia Season 3 
Boku no Hero Academia Season 4 
Boku no Hero Academia Season 5 On-Going
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken 
Boku wa Tomodachi ga Sukunai 
Boku wa Tomodachi ga Sukunai Season 2 
Bokuhaka 
Bokura ga Ita 
Bokura wa Minna Kawaisou 
Bokutachi no Remake On-Going
Bokutachi wa Benkyou ga Dekinai 
Bokutachi wa Benkyou ga Dekinai Season 2 
Boogiepop wa Warawanai 
Boruto On-Going
Bounen no Xamdou 
BNA 
Btooom! 
Buddy Complex 
Bungou Stray Dogs 
Bungo Stray Dogs Season 2 
Bungou Stray Dogs Season 3 
Bungou to Alchemist: Shinpan no Haguruma 
Busou Shoujo Machiavellianism 
C3 
Caligula 
Campione 
Canaan 
Carole & Tuesday 
Centaur no Nayami 
Chain Chronicle 
Charlotte 
Cheat Kusushi no Slow Life 
